Name,Points
Ivica Zubac,17.07217404484669
Bogdan Bogdanovic,9.564290715832483
Ben Simmons,3.156422220464248
Harrison Barnes,19.644215966732013
Malaki Branham,8.45003310000248
Stephon Castle,26.87912787512954
Julian Champagnie,16.29376624410891
De'Aaron Fox,3.368094734136183
Keldon Johnson,15.872746250743848
Sandro Mamukelashvili,11.151683410625585
Chris Paul,12.759258628763385
Devin Vassell,9.876314347946858
Victor Wembanyama,4.4660175876084915
Blake Wesley,8.960761379741202
Ochai Agbaji,15.677484577989848
Scottie Barnes,20.116016426502867
RJ Barrett,10.87591857373068
Jamison Battle,14.008788348362359
P.J. Tucker,
Gradey Dick,3.048916136308134
Jonathan Mogbo,18.969681183142143
Jakob Poeltl,3.1140102418526165
Jamal Shead,17.75921317703719
Brandon Ingram,2.751186388618911
Shai Gilgeous-Alexander,17.451378154927696
Isaiah Hartenstein,1.1673370768916982
Chet Holmgren,5.673044202452285
Isaiah Joe,23.727648363234564
Dillon Jones,17.781752018611094
Aaron Wiggins,26.799088114397982
Kenrich Williams,15.232917455082443
Jalen Williams,10.063759671324364
Jaylin Williams,14.7454292887506
Jose Alvarado,19.925473511567812
Keion Brooks Jr.,12.640015266318901
Jamal Cain,8.07834805897905
Javonte Green,7.581378903807867
CJ McCollum,12.344168675131298
Trey Murphy III,4.182035695009248
Dejounte Murray,4.093325246153676
Elfrid Payton,10.672250202314324
Antonio Reeves,16.687204563222412
Jeremiah Robinson-Earl,8.423037024055377
Zion Williamson,9.349477395670556
Nickeil Alexander-Walker,14.051335923275985
Mike Conley,11.850164238340321
Donte DiVincenzo,14.725552423689239
Anthony Edwards,31.626102930048674
Rudy Gobert,15.895383753917345
Jaden McDaniels,12.958910978448259
Julius Randle,18.686267896603255
Naz Reid,16.593341925148035
Jordan Clarkson,7.341723355619453
Jalen Hood-Schifino,8.393476895072693
Kyle Filipowski,16.221382194031808
Keyonte George,18.726383167948008
Johnny Juzang,12.186788790415203
Walker Kessler,4.372769283158529
Lauri Markkanen,2.8559076158671575
Svi Mykhailiuk,5.7722347775232326
Micah Potter,5.270879731076212
Brice Sensabaugh,11.619259137542867
Collin Sexton,15.661824892474135
Oscar Tshiebwe,10.978155268617417
Spencer Dinwiddie,20.428914710534826
Anthony Davis,12.747432009015535
Daniel Gafford,10.169021505024785
Caleb Martin,10.337183309968756
Jaden Hardy,12.113046472324317
Kyrie Irving,4.253361910149275
Max Christie,13.966355329275972
Dereck Lively II,4.670157196551348
Naji Marshall,21.298605983074054
P.J. Washington,7.125382167413047
Brandon Williams,14.450584860779674
Santi Aldama,13.111539244608846
Desmond Bane,15.887087802985187
Zach Edey,7.978053112543993
Jay Huff,5.255074568160246
Jaren Jackson Jr.,19.040654526088133
Yuki Kawamura,11.251040554353143
Luke Kennard,5.971526714757571
John Konchar,3.279401951701728
Ja Morant,23.18458760825797
Miles Norris,6.770248428016927
Scotty Pippen Jr.,9.875325575618355
Christian Braun,14.247363953688083
Aaron Gordon,11.468248690925991
Nikola Jokic,29.866790882248104
Spencer Jones,5.533743091403667
DeAndre Jordan,5.134893986639738
Jamal Murray,20.680870545851754
Zeke Nnaji,3.9955859852878772
Jalen Pickett,7.814803818715302
Michael Porter Jr.,13.80994999519263
Peyton Watson,10.33459995211198
Russell Westbrook,15.605834881361615
Steven Adams,5.261476713290606
Dillon Brooks,11.777613334904984
N'Faly Dante,1.2961196664262058
Tari Eason,11.017588737259853
Jalen Green,22.86921347852924
Aaron Holiday,4.783284040930763
Jock Landale,7.943773076608594
Alperen Sengun,21.005033714783636
Jabari Smith,11.127552384534653
Amen Thompson,13.883259840160571
Fred VanVleet,16.592603800336043
Jaden Springer,5.458485980736922
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
