Name,Assists
Norman Powell,2.128033358275155
Ivica Zubac,3.329552625460609
Bogdan Bogdanovic,3.2415493884506414
Ben Simmons,2.7642738711119184
Harrison Barnes,2.583300148777761
Malaki Branham,2.56822948044392
Stephon Castle,6.833832061964908
Julian Champagnie,1.9505867079627643
De'Aaron Fox,
Keldon Johnson,2.732825458286137
Sandro Mamukelashvili,1.5530296571199222
Chris Paul,6.585100894947267
Devin Vassell,2.701360121761872
Victor Wembanyama,
Blake Wesley,2.218165069251983
Ochai Agbaji,2.5957839274556136
Scottie Barnes,5.928577894818004
RJ Barrett,3.818729237555923
Jamison Battle,1.6960648170724526
P.J. Tucker,
Gradey Dick,
Jonathan Mogbo,4.979268874001493
Jakob Poeltl,2.4244080709202
Jamal Shead,7.495462417547102
Brandon Ingram,
Shai Gilgeous-Alexander,6.808925210833267
Isaiah Hartenstein,3.66657039829399
Chet Holmgren,1.8542366292851968
Isaiah Joe,2.1858138909085594
Dillon Jones,5.1209743210597525
Aaron Wiggins,2.3194773764684227
Kenrich Williams,2.9179241861831695
Jalen Williams,3.81748120875727
Jaylin Williams,3.288368010336456
Jose Alvarado,6.251043731853535
Keion Brooks Jr.,1.751995244989287
Jamal Cain,0.0684750542206824
Javonte Green,0.9058638377575904
CJ McCollum,3.7947034862655635
Trey Murphy III,
Dejounte Murray,
Elfrid Payton,8.96141252739435
Antonio Reeves,1.503549086975327
Jeremiah Robinson-Earl,1.6830513975747448
Zion Williamson,
Nickeil Alexander-Walker,3.261483192938742
Mike Conley,4.788735254651547
Donte DiVincenzo,2.9406091179824876
Anthony Edwards,3.949742148891699
Rudy Gobert,1.878307324210902
Jaden McDaniels,2.3244332676413966
Julius Randle,5.14215996753284
Naz Reid,2.4254796037258766
Jordan Clarkson,2.99803995144688
Jalen Hood-Schifino,2.718924881015461
Kyle Filipowski,1.8047257293052645
Keyonte George,4.7798386934616195
Johnny Juzang,1.7307755533707097
Walker Kessler,2.515020301130907
Lauri Markkanen,
Svi Mykhailiuk,2.074684160665589
Micah Potter,0.3227495565836628
Brice Sensabaugh,1.9164039241816098
Collin Sexton,4.93128136359122
Oscar Tshiebwe,0.6461509746741367
Spencer Dinwiddie,7.9307748033599
Anthony Davis,2.9963273443680145
Daniel Gafford,1.4724285568053443
Caleb Martin,1.9412721425076738
Jaden Hardy,1.4653589710512238
Kyrie Irving,
Max Christie,1.8260671682672094
Dereck Lively II,0.12839910490614098
Naji Marshall,4.171379249248486
P.J. Washington,1.963428363277671
Brandon Williams,4.695776031269645
Santi Aldama,2.4778071908570065
Desmond Bane,4.28218547366258
Zach Edey,1.2630592988081435
Jay Huff,-0.13602244881272862
Jaren Jackson Jr.,1.5612864052074944
Yuki Kawamura,
Luke Kennard,2.693880076882941
John Konchar,1.1610498733833934
Ja Morant,5.5948396166525285
Miles Norris,-0.7713281489548631
Scotty Pippen Jr.,4.856057479576762
Christian Braun,2.8333056689851883
Aaron Gordon,4.07715470799719
Nikola Jokic,6.20659678934913
Spencer Jones,-0.041920382254839045
DeAndre Jordan,2.156733700112656
Jamal Murray,4.270827170289469
Zeke Nnaji,1.0415946295023564
Jalen Pickett,3.7635124084061573
Michael Porter Jr.,2.1484741017892763
Peyton Watson,0.9190092148246729
Russell Westbrook,5.033000645120524
Steven Adams,0.22113431870123945
Dillon Brooks,0.9929647490412978
N'Faly Dante,-0.9417286006688074
Tari Eason,1.2877417275164513
Jalen Green,3.1573133310142927
Aaron Holiday,0.985469338053616
Jock Landale,1.3525848065372308
Alperen Sengun,4.232010364517431
Jabari Smith,0.9735983783206322
Amen Thompson,4.324689867085497
Fred VanVleet,4.789051395161983
Jaden Springer,0.7368583350891655
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
